Title,Mal_Id,Rating,Scored_By,Members,Favourited_by,Genre,Year,Season
Durarara!!,6746,8.11,640578,1341726,29601,"Action,Mystery,Supernatural",2010,winter
Baka to Test to Shoukanjuu,6347,7.53,336141,612914,5535,"Comedy,Romance",2010,winter
Katanagatari,6594,8.32,205768,537133,10601,"Action,Adventure,Romance",2010,winter
Seikon no Qwaser,6500,6.35,127677,315086,773,"Action,Supernatural,Ecchi",2010,winter
Omamori Himari,6324,6.84,117526,233478,729,"Action,Comedy,Fantasy,Romance,Supernatural,Ecchi",2010,winter
Dance in the Vampire Bund,6747,7.0,105743,220275,681,"Action,Drama,Romance,Supernatural",2010,winter
Ladies versus Butlers!,7148,6.56,104853,209850,266,"Comedy,Romance,Ecchi",2010,winter
So Ra No Wo To,6802,7.54,53876,155944,1447,"Sci-Fi,Slice of Life",2010,winter
Nodame Cantabile: Finale,5690,8.24,67550,123922,406,"Comedy,Romance",2010,winter
Hanamaru Youchien,6574,7.27,36584,88097,224,"Comedy,Slice of Life",2010,winter
Ookamikakushi,7079,6.31,30456,71596,85,"Action,Horror,Mystery,Supernatural",2010,winter
Chuu Bra!!,6645,6.2,21725,46746,47,"Comedy,Ecchi",2010,winter
Heartcatch Precure!,7645,7.84,11020,29670,577,"Action,Comedy,Fantasy",2010,winter
Hidamari Sketch x ☆☆☆,7062,7.9,12460,26461,150,"Comedy,Slice of Life",2010,winter
Weiß Survive R,7463,6.02,4884,11054,4,"Comedy,Ecchi",2010,winter
Cobra The Animation,5032,7.07,3358,8630,25,"Action,Adventure,Sci-Fi",2010,winter
Kaitou Reinya,7561,5.61,1645,3535,0,Comedy,2010,winter
Kemono no Souja Erin Recaps,7904,6.81,526,2556,5,"Adventure,Drama,Fantasy,Slice of Life",2010,winter
Masuda Kousuke Gekijou Gag Manga Biyori +,7761,6.97,738,2388,1,Comedy,2010,winter
Angel Beats!,6547,8.07,1229117,1979724,47233,"Drama,Supernatural",2010,spring
Kaichou wa Maid-sama!,7054,8.01,692416,1180244,21963,"Comedy,Romance",2010,spring
K-On!!,7791,8.17,363125,654758,14108,"Award Winning,Comedy",2010,spring
Kiss x Sis (TV),7593,6.62,326592,552533,1751,"Comedy,Romance,Ecchi",2010,spring
Ichiban Ushiro no Daimaou,7088,6.75,289951,500408,1198,"Action,Comedy,Fantasy,Ecchi",2010,spring
Yojouhan Shinwa Taikei,7785,8.57,135665,418984,17390,"Award Winning,Comedy,Mystery,Romance",2010,spring
Working!!,6956,7.65,199816,417428,2478,Comedy,2010,spring
B-gata H-kei,7817,6.86,212592,375265,1535,"Comedy,Romance,Ecchi",2010,spring
Rainbow: Nisha Rokubou no Shichinin,6114,8.48,149600,374670,8170,"Drama,Suspense",2010,spring
Arakawa Under the Bridge,7647,7.57,148451,340582,2305,"Comedy,Romance",2010,spring
Hakuouki,6895,7.37,68003,163006,1905,"Action,Drama,Supernatural",2010,spring
Mayoi Neko Overrun!,7590,6.66,58532,135058,202,"Comedy,Romance",2010,spring
Uragiri wa Boku no Namae wo Shitteiru,7058,7.21,36957,96335,962,"Adventure,Boys Love,Drama,Fantasy",2010,spring
Saraiya Goyou,7588,7.78,26568,88170,838,Drama,2010,spring
Giant Killing,7661,7.54,34076,67830,364,"Drama,Sports",2010,spring
Bakugan Battle Brawlers: New Vestroia,5337,6.52,39632,63100,190,"Adventure,Fantasy",2010,spring
Major S6,7655,8.33,35264,60083,472,Sports,2010,spring
Metal Fight Beyblade: Baku,8410,6.94,31707,48735,159,"Adventure,Comedy,Sports",2010,spring
Ikkitousen: Xtreme Xecutor,7580,6.73,19685,48699,38,"Action,Ecchi",2010,spring
Senkou no Night Raid,6973,6.84,12473,43993,56,Action,2010,spring
Ookiku Furikabutte: Natsu no Taikai-hen,7720,7.98,22133,42982,183,Sports,2010,spring
Heroman,4334,6.82,15444,38869,75,"Action,Sci-Fi",2010,spring
Shin Koihime†Musou: Otome Tairan,8057,6.97,8017,20210,24,"Adventure,Comedy,Fantasy,Ecchi",2010,spring
Jewelpet Twinkle☆,8217,7.44,4540,11338,115,Fantasy,2010,spring
Hime Chen! Otogi Chikku Idol Lilpri,8206,7.0,3753,10133,51,Fantasy,2010,spring
SD Gundam Sangokuden Brave Battle Warriors,8287,6.28,1521,4601,3,Action,2010,spring
Gokujou!! Mecha Mote Iinchou Second Collection,8538,6.26,733,2836,4,"Comedy,Romance",2010,spring
Saikyou Bushouden: Sangoku Engi,6902,6.73,366,2467,6,,2010,spring
Duel Masters Cross Shock,10528,6.13,689,2060,1,"Action,Adventure,Comedy,Fantasy",2010,spring
Ring ni Kakero 1: Kage Dou-hen,7793,6.39,423,1749,1,"Action,Sports",2010,spring
Marie & Gali ver. 2.0,8409,5.91,253,1107,0,Comedy,2010,spring
Choegang Habche: Mix Master,31246,5.93,184,805,0,"Adventure,Fantasy",2010,spring
Hanakappa,8336,5.98,137,796,1,Comedy,2010,spring
Highschool of the Dead,8074,7.08,897156,1424170,9730,"Action,Horror,Supernatural,Ecchi",2010,summer
Shiki,7724,7.74,248260,570574,8003,"Horror,Mystery,Supernatural,Suspense",2010,summer
Kuroshitsuji II,6707,7.15,307354,539777,3120,"Action,Comedy,Supernatural",2010,summer
Seitokai Yakuindomo,8675,7.56,213731,472609,3226,Comedy,2010,summer
Amagami SS,8676,7.3,153816,363441,2183,Romance,2010,summer
Densetsu no Yuusha no Densetsu,8086,7.52,132816,287414,1962,"Action,Adventure,Fantasy",2010,summer
Ookami-san to Shichinin no Nakama-tachi,7769,7.17,126777,269075,775,"Comedy,Romance",2010,summer
Nurarihyon no Mago,7592,7.62,114387,260681,1319,"Action,Supernatural",2010,summer
Sekirei: Pure Engagement,5277,7.29,128544,232536,517,"Action,Comedy,Ecchi",2010,summer
Asobi ni Iku yo!,6166,6.59,89050,193809,506,"Comedy,Romance,Sci-Fi,Ecchi",2010,summer
Mitsudomoe,7627,7.54,42566,103364,564,"Comedy,Slice of Life",2010,summer
Seikimatsu Occult Gakuin,6974,7.04,41946,100417,183,"Comedy,Mystery,Sci-Fi,Supernatural",2010,summer
Strike Witches 2,6381,7.29,39259,81326,266,"Action,Sci-Fi,Ecchi",2010,summer
Sengoku Basara Ni,6634,7.51,32266,67814,166,Action,2010,summer
Digimon Xros Wars,8624,6.67,25273,47048,101,"Action,Adventure,Comedy,Fantasy",2010,summer
Shukufuku no Campanella,6979,6.28,11503,30717,27,"Adventure,Fantasy",2010,summer
Tono to Issho: Ippunkan Gekijou,8961,6.17,1428,3334,1,Comedy,2010,summer
Scan2Go,10869,6.08,1494,3130,9,,2010,summer
Stitch!: Zutto Saikou no Tomodachi,8964,5.99,710,2213,4,"Adventure,Comedy",2010,summer
Chao Zhi Neng Zu Qiu,36993,6.32,796,1697,7,"Comedy,Sports",2010,summer
Kuruneko 2nd Season,9013,6.99,424,1447,1,"Comedy,Slice of Life",2010,summer
MonHun Nikki Girigiri Airou Mura: Airou Kiki Ippatsu,8960,5.99,319,1306,1,"Action,Comedy",2010,summer
Kkoma Bus Tayo,38070,5.74,161,390,0,,2010,summer
Ore no Imouto ga Konnani Kawaii Wake ga Nai,8769,6.98,375739,661083,4401,Comedy,2010,fall
Kami nomi zo Shiru Sekai,8525,7.66,321908,602220,5623,"Comedy,Romance,Supernatural",2010,fall
Bakuman.,7674,8.19,285348,594003,9274,"Comedy,Drama,Romance",2010,fall
"Yosuga no Sora: In Solitude, Where We Are Least Alone.",8861,6.08,252007,472651,2249,"Drama,Romance,Ecchi",2010,fall
Toaru Majutsu no Index II,8937,7.54,240893,441337,1720,"Action,Sci-Fi",2010,fall
Panty & Stocking with Garterbelt,8795,7.72,184729,367603,5456,"Action,Comedy,Supernatural,Ecchi",2010,fall
Motto To LOVE-Ru,9181,7.28,184054,319360,966,"Comedy,Sci-Fi,Ecchi",2010,fall
Sora no Otoshimono Forte,8407,7.46,163320,281011,884,"Comedy,Romance,Sci-Fi,Supernatural,Ecchi",2010,fall
MM!,8424,7.05,121770,230053,663,"Comedy,Ecchi",2010,fall
Kuragehime,8129,8.12,105285,223421,4379,Comedy,2010,fall
Shinryaku! Ika Musume,8557,7.42,86608,190569,1037,"Comedy,Slice of Life",2010,fall
Hyakka Ryouran: Samurai Girls,8277,6.77,76503,175095,284,"Action,Comedy,Ecchi",2010,fall
Arakawa Under the Bridge x Bridge,9074,7.72,83412,158653,411,"Comedy,Romance",2010,fall
Shinrei Tantei Yakumo,7662,7.31,54604,129260,538,"Horror,Mystery,Supernatural",2010,fall
Otome Youkai Zakuro,8476,7.44,48151,118711,392,"Romance,Supernatural",2010,fall
Fortune Arterial: Akai Yakusoku,8536,6.68,60080,114040,197,"Comedy,Romance,Supernatural",2010,fall
Star Driver: Kagayaki no Takuto,8934,7.19,44422,110436,591,"Action,Romance,Sci-Fi",2010,fall
Pokemon Best Wishes!,9107,6.4,56920,96087,152,"Action,Adventure,Comedy,Fantasy",2010,fall
Togainu no Chi,8449,6.24,35530,85645,351,"Action,Boys Love,Sci-Fi,Suspense",2010,fall
Hakuouki: Hekketsuroku,9065,7.57,39543,83752,488,"Action,Drama,Supernatural",2010,fall
Tegamibachi Reverse,8311,7.73,26267,61521,210,"Adventure,Fantasy,Supernatural",2010,fall
Soredemo Machi wa Mawatteiru,8726,7.44,21241,59714,227,"Comedy,Slice of Life",2010,fall
Tantei Opera Milky Holmes,7768,6.91,16485,43535,211,"Comedy,Mystery",2010,fall
Yume-iro Pâtissière SP Professional,9441,7.58,22404,39908,152,"Gourmet,Slice of Life",2010,fall
Iron Man,6875,6.04,13443,28169,27,"Action,Drama",2010,fall
Super Robot Taisen OG: The Inspector,9241,7.23,3484,9477,43,"Action,Sci-Fi",2010,fall
Battle Spirits: Brave,9346,7.11,1468,3969,18,"Adventure,Sci-Fi",2010,fall
Shokupan Mimi,9561,5.6,804,1754,3,"Comedy,Gourmet",2010,fall
Shin-Men,9799,6.11,416,1650,0,"Action,Comedy",2010,fall
Miyanishi Tatsuya Gekijou: Omae Umasou da na,9395,6.27,581,1617,3,Adventure,2010,fall
Kakko Kawaii Sengen!,9627,5.56,400,1456,1,Comedy,2010,fall
Mahou Shoujo Madoka★Magica,9756,8.36,710518,1211100,51660,"Award Winning,Drama,Suspense",2011,winter
IS: Infinite Stratos,9041,6.64,349520,613174,2242,"Action,Comedy,Sci-Fi,Ecchi",2011,winter
Kore wa Zombie desu ka?,8841,7.35,333886,604916,3100,"Action,Comedy,Supernatural,Ecchi",2011,winter
Beelzebub,9513,7.86,269114,569832,5222,"Action,Comedy,Supernatural",2011,winter
Gosick,8425,8.06,220413,516811,7994,"Drama,Mystery,Romance",2011,winter
Kimi ni Todoke 2nd Season,9656,7.98,251927,436702,1530,"Drama,Romance",2011,winter
Freezing,9367,6.81,167837,313260,1116,"Action,Drama,Romance,Sci-Fi,Ecchi",2011,winter
Dragon Crisis!,9330,6.64,86054,167988,279,"Action,Romance,Supernatural",2011,winter
Yumekui Merry,9331,6.91,61607,133638,283,"Action,Supernatural",2011,winter
Hourou Musuko,8426,7.7,40463,124428,1037,"Drama,Romance",2011,winter
Level E,9834,7.42,39135,91761,332,"Comedy,Sci-Fi",2011,winter
Oniichan no Koto nanka Zenzen Suki ja Nai n da kara ne!!,9587,6.09,40192,87811,89,"Comedy,Romance,Ecchi",2011,winter
Fractale,9314,6.93,34533,81057,205,"Adventure,Fantasy,Sci-Fi",2011,winter
Cardfight!! Vanguard,9539,7.02,25613,51625,308,Action,2011,winter
Mitsudomoe Zouryouchuu!,9510,7.67,25245,44241,86,"Comedy,Slice of Life",2011,winter
Rio: Rainbow Gate!,8241,5.85,14539,39344,35,"Comedy,Ecchi",2011,winter
Haiyoru! Nyaruani: Remember My Love(craft-sensei),9598,6.24,11488,28266,8,"Comedy,Sci-Fi",2011,winter
Wolverine,6918,6.03,12608,26083,23,Action,2011,winter
Suite Precure♪,9893,7.3,5779,14903,115,"Action,Fantasy",2011,winter
DD Hokuto no Ken,10177,6.08,1742,4869,11,,2011,winter
Oscar's Oasis,33430,6.45,820,1454,5,Comedy,2011,winter
Robocar Poli,31898,5.43,185,507,0,Comedy,2011,winter
Steins;Gate,9253,9.08,1305265,2380782,179598,"Drama,Sci-Fi,Suspense",2011,spring
Ao no Exorcist,9919,7.5,1100471,1823420,16535,"Action,Fantasy",2011,spring
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,9989,8.32,937443,1527959,31989,"Drama,Supernatural",2011,spring
Deadman Wonderland,6880,7.16,657082,1179680,6587,"Action,Horror,Sci-Fi,Supernatural",2011,spring
Nichijou,10165,8.46,342109,833960,22097,Comedy,2011,spring
Gintama',9969,9.04,220701,510047,7557,"Action,Comedy,Sci-Fi",2011,spring
Kami nomi zo Shiru Sekai II,10080,7.88,232499,376002,979,"Comedy,Romance,Supernatural",2011,spring
Hidan no Aria,8630,6.8,189622,362526,884,"Action,Comedy,Romance",2011,spring
Hanasaku Iroha,9289,7.91,124438,317340,2517,Drama,2011,spring
C: The Money of Soul and Possibility Control,10163,7.18,142456,296182,1237,"Action,Mystery,Suspense",2011,spring
Denpa Onna to Seishun Otoko,9379,7.13,123571,294908,1083,"Comedy,Sci-Fi,Slice of Life",2011,spring
Tiger & Bunny,9941,7.86,88198,219084,2944,"Action,Comedy,Mystery",2011,spring
SKET Dance,9863,8.22,81384,216299,3162,Comedy,2011,spring
Sekaiichi Hatsukoi,9926,7.66,115206,210223,3039,"Boys Love,Comedy,Drama,Romance",2011,spring
Dog Days,10155,6.87,84702,183124,553,"Action,Adventure,Fantasy",2011,spring
Gyakkyou Burai Kaiji: Hakairoku-hen,10271,8.25,99828,181964,2574,Suspense,2011,spring
Hoshizora e Kakaru Hashi,10079,6.7,87096,169934,338,"Comedy,Romance,Ecchi",2011,spring
Astarotte no Omocha!,9736,6.51,67233,140736,232,"Comedy,Fantasy,Romance,Ecchi",2011,spring
Seikon no Qwaser II,10073,6.32,60361,131796,125,"Action,Supernatural,Ecchi",2011,spring
Toriko,10033,7.52,49427,122665,815,"Action,Adventure,Comedy,Fantasy,Gourmet",2011,spring
A-Channel,9776,6.94,43444,97205,293,Comedy,2011,spring
Oretachi ni Tsubasa wa Nai: Under the Innocent Sky.,9922,6.66,32522,85424,173,"Comedy,Drama,Romance,Ecchi",2011,spring
Inazuma Eleven Go,10507,6.97,47079,76265,284,Sports,2011,spring
"Yondemasu yo, Azazel-san. (TV)",10216,7.52,32219,74021,358,"Comedy,Supernatural",2011,spring
Yu☆Gi☆Oh! Zexal,10015,6.39,41653,72661,306,"Action,Fantasy",2011,spring
Maria†Holic Alive,9712,6.96,28664,63851,66,"Comedy,Girls Love",2011,spring
30-sai no Hoken Taiiku,9624,6.64,25937,61999,74,"Romance,Ecchi",2011,spring
Sengoku Otome: Momoiro Paradox,10308,6.56,17398,45587,66,"Action,Comedy,Sci-Fi",2011,spring
Bakugan Battle Brawlers: Gundalian Invaders,7334,6.3,26956,45276,90,"Action,Adventure,Fantasy",2011,spring
HenSemi (TV),10187,6.51,17405,44087,69,"Comedy,Ecchi",2011,spring
Metal Fight Beyblade 4D,10370,6.96,28223,43508,159,"Adventure,Sports",2011,spring
Hyouge Mono,9996,7.95,4317,26632,293,,2011,spring
Digimon Xros Wars: Aku no Death General to Nanatsu no Oukoku,10444,7.1,13896,26481,46,"Action,Adventure,Comedy,Fantasy",2011,spring
X-Men,6919,6.33,12847,26404,26,"Action,Drama",2011,spring
Softenni,10109,6.5,8641,23931,19,"Comedy,Sports,Ecchi",2011,spring
Moshidora,9693,6.88,8798,21356,20,"Drama,Sports",2011,spring
Pretty Rhythm: Aurora Dream,10257,7.4,8220,20982,178,Sports,2011,spring
Dororon Enma-kun Meeramera,9493,6.49,6083,17466,31,"Action,Comedy,Supernatural,Ecchi",2011,spring
Danball Senki,7081,6.98,4242,9448,46,Action,2011,spring
Fireball Charming,10348,6.77,4412,8106,18,Sci-Fi,2011,spring
Honto ni Atta! Reibai Sensei,10338,6.52,2657,7731,8,"Comedy,Supernatural",2011,spring
Shouwa Monogatari,10014,6.86,1473,5559,8,Drama,2011,spring
Jewelpet Sunshine,10359,6.77,1233,4984,23,Fantasy,2011,spring
Tono to Issho: Gantai no Yabou,10324,6.4,1026,3064,0,Comedy,2011,spring
Usavich IV,10513,6.57,1590,2853,1,Comedy,2011,spring
Hime Chen! Otogi Chikku Idol Lilpri (2011),31068,6.82,775,2236,6,,2011,spring
Larva,31534,5.9,1187,2031,10,Comedy,2011,spring
Ba La La Xiao Mo Xian: Caihong Xin Shi,30519,5.86,313,1488,3,Comedy,2011,spring
Ring ni Kakero 1: Sekai Taikai-hen,10346,6.37,348,1428,2,Sports,2011,spring
Duel Masters Victory,10524,5.71,376,1390,2,"Action,Adventure,Comedy,Fantasy",2011,spring
Happy Kappy,10347,5.39,382,1307,2,"Comedy,Fantasy",2011,spring
Puu-Neko,10459,5.76,132,1075,0,Comedy,2011,spring
Genki!! Ekoda-chan,10540,5.69,155,1040,0,Comedy,2011,spring
Ohayou Ninja-tai Gatchaman,31517,5.68,154,790,1,Comedy,2011,spring
Suzy's Zoo: Daisuki! Witzy,10349,5.93,263,678,1,,2011,spring
47 Todoufuken,27589,5.39,173,541,2,Comedy,2011,spring
Usagi Drop,10162,8.37,233923,472998,5960,Slice of Life,2011,summer
Mayo Chiki!,10110,7.24,256936,472633,1842,"Comedy,Romance,Ecchi",2011,summer
No.6,10161,7.57,197316,415717,7190,"Action,Drama,Mystery,Sci-Fi",2011,summer
Baka to Test to Shoukanjuu Ni!,8516,7.69,218093,359310,1181,"Comedy,Romance",2011,summer
Blood-C,10490,6.53,150121,345857,1070,"Action,Horror,Mystery,Supernatural",2011,summer
Yuru Yuri,10495,7.57,146951,325545,4408,"Award Winning,Comedy,Girls Love",2011,summer
Mawaru Penguindrum,10721,7.95,104573,288236,7151,"Avant Garde,Comedy,Drama,Mystery",2011,summer
Natsume Yuujinchou San,10379,8.58,111752,239064,1348,"Drama,Slice of Life,Supernatural",2011,summer
Kamisama no Memochou,10568,7.49,92895,231945,778,Mystery,2011,summer
Uta no☆Prince-sama♪ Maji Love 1000%,10321,7.03,94909,192258,1574,"Comedy,Romance",2011,summer
Nurarihyon no Mago: Sennen Makyou,10049,7.95,81009,156942,627,"Action,Supernatural",2011,summer
The iDOLM@STER,10278,7.61,52125,147648,1619,"Comedy,Drama",2011,summer
Dantalian no Shoka,8915,7.23,55588,143696,518,"Action,Mystery,Supernatural",2011,summer
Itsuka Tenma no Kuro Usagi,9750,6.52,57480,128918,212,"Comedy,Romance,Supernatural,Ecchi",2011,summer
R-15,10611,6.43,38365,88371,78,"Comedy,Romance,Ecchi",2011,summer
Ro-Kyu-Bu!,10572,6.78,34572,79310,187,"Comedy,Sports,Ecchi",2011,summer
Sacred Seven,10156,6.59,32861,76567,79,"Action,Sci-Fi",2011,summer
Manyuu Hikenchou,10465,6.19,24121,74376,243,"Action,Comedy,Ecchi",2011,summer
Kamisama Dolls,10372,7.01,30306,70772,88,"Action,Supernatural",2011,summer
Ikoku Meiro no Croisée The Animation,9938,7.42,23496,57004,166,Slice of Life,2011,summer
Nyanpire The Animation,10197,6.65,14322,27350,86,"Comedy,Supernatural",2011,summer
Blade,6920,6.22,11282,27074,30,"Action,Drama,Horror",2011,summer
Morita-san wa Mukuchi.,10671,6.5,10427,23573,14,"Comedy,Slice of Life",2011,summer
Nekogami Yaoyorozu,9934,6.62,6889,21022,28,"Comedy,Slice of Life,Supernatural",2011,summer
Double-J,10838,5.46,5262,11741,9,Comedy,2011,summer
Kaitou Tenshi Twin Angel: Kyun Kyun☆Tokimeki Paradise!!,10217,6.06,2493,8309,5,,2011,summer
Qin Shi Mingyue: Zhu Zi Bai Jia,11835,6.86,349,1354,6,"Action,Fantasy",2011,summer
Kakko Kawaii Sengen! 2,10908,5.69,254,838,3,Comedy,2011,summer
Inumarudashi,10847,5.11,163,786,0,Comedy,2011,summer
MonHun Nikki Girigiri Airou Mura G,10802,5.98,203,702,0,"Action,Comedy",2011,summer
Hunter x Hunter (2011),11061,9.04,1602180,2578530,195541,"Action,Adventure,Fantasy",2011,fall
Mirai Nikki (TV),10620,7.43,1158641,1915232,29933,"Action,Supernatural,Suspense",2011,fall
Fate/Zero,10087,8.28,815573,1421912,32833,"Action,Fantasy,Supernatural",2011,fall
Guilty Crown,10793,7.42,613547,1164248,16777,"Action,Drama,Sci-Fi",2011,fall
Boku wa Tomodachi ga Sukunai,10719,7.17,437650,776563,3728,"Comedy,Romance,Ecchi",2011,fall
Chihayafuru,10800,8.19,174122,435181,7587,"Drama,Sports",2011,fall
Bakuman. 2nd Season,10030,8.35,204274,339450,1363,"Comedy,Drama,Romance",2011,fall
Ben-To,10396,7.21,162028,315265,1129,"Action,Comedy,Gourmet",2011,fall
Maji de Watashi ni Koi Shinasai!,10213,6.68,123869,289922,630,"Comedy,Romance,Ecchi",2011,fall
Maken-Ki!,9936,6.33,128059,277978,404,"Action,Ecchi",2011,fall
Working'!!,10521,7.83,146896,254657,452,Comedy,2011,fall
Persona 4 the Animation,10588,7.5,124318,253618,2205,"Action,Adventure,Mystery,Sci-Fi,Supernatural",2011,fall
Shakugan no Shana III (Final),6773,7.51,114485,230180,1118,"Action,Drama,Fantasy,Romance",2011,fall
Kimi to Boku.,10460,7.66,60214,178056,1365,"Comedy,Drama,Romance,Slice of Life",2011,fall
Kyoukaisenjou no Horizon,10456,7.03,63769,174756,821,"Action,Fantasy,Sci-Fi",2011,fall
C³,10578,6.59,80352,172026,258,"Action,Comedy,Supernatural,Ecchi",2011,fall
Sekaiichi Hatsukoi 2,11123,7.85,87497,151282,716,"Boys Love,Comedy,Drama,Romance",2011,fall
Mashiro-iro Symphony: The Color of Lovers,10397,7.03,73236,150204,496,"Drama,Romance",2011,fall
Un-Go,10798,7.35,57027,146362,613,"Mystery,Supernatural",2011,fall
Phi Brain: Kami no Puzzle,9981,7.17,43697,105783,224,"Action,Mystery",2011,fall
Shinryaku!? Ika Musume,10378,7.47,46490,94085,164,"Comedy,Slice of Life",2011,fall
Tamayura: Hitotose,10232,7.32,13023,45295,163,"Comedy,Drama,Slice of Life",2011,fall
Last Exile: Ginyoku no Fam,10336,7.07,16576,44163,91,"Action,Adventure,Sci-Fi",2011,fall
Kidou Senshi Gundam AGE,10808,6.48,14412,30862,56,"Action,Sci-Fi",2011,fall
Digimon Xros Wars: Toki wo Kakeru Shounen Hunter-tachi,11385,6.41,12523,25164,30,"Action,Adventure,Comedy,Fantasy",2011,fall
Chibi☆Devi!,11457,6.84,6426,18480,65,"Fantasy,Supernatural",2011,fall
Morita-san wa Mukuchi. 2,11615,6.64,7097,13040,5,"Comedy,Slice of Life",2011,fall
High Score,10958,5.54,3891,8180,7,"Comedy,Slice of Life",2011,fall
Cross Fight B-Daman,11177,6.52,4266,7794,37,,2011,fall
gdgd Fairies,11809,6.77,2112,5392,65,Comedy,2011,fall
Sengoku☆Paradise Kiwami,11547,5.99,1069,5391,1,"Action,Comedy,Drama,Romance",2011,fall
Battle Spirits: Heroes,11017,6.13,606,2080,4,Sci-Fi,2011,fall
Tian Xin Ge Ge,33739,6.33,111,411,5,Comedy,2011,fall
Kkoma Bus Tayo 2,38071,5.69,114,304,0,,2011,fall
Another,11111,7.48,940979,1575989,16779,"Horror,Mystery,Supernatural",2012,winter
High School DxD,11617,7.34,852424,1343921,21627,"Comedy,Romance,Ecchi",2012,winter
Danshi Koukousei no Nichijou,11843,8.24,391955,776695,13621,Comedy,2012,winter
Nisemonogatari,11597,8.14,414471,701636,3838,"Comedy,Mystery,Supernatural,Ecchi",2012,winter
Inu x Boku SS,11013,7.39,227926,484950,3164,"Comedy,Drama,Romance,Supernatural",2012,winter
Zero no Tsukaima F,11319,7.44,232673,401249,1171,"Adventure,Fantasy,Romance,Ecchi",2012,winter
Ano Natsu de Matteru,11433,7.42,174515,370235,1997,"Drama,Romance,Sci-Fi",2012,winter
Black★Rock Shooter (TV),11285,6.81,171230,341967,2164,"Action,Drama",2012,winter
Natsume Yuujinchou Shi,11665,8.65,102922,232068,1929,"Drama,Slice of Life,Supernatural",2012,winter
Papa no Iukoto wo Kikinasai!,11179,7.27,98545,187978,618,"Comedy,Romance",2012,winter
Amagami SS+ Plus,11235,7.39,86672,161936,361,Romance,2012,winter
Brave 10,11241,6.75,69099,144109,243,"Action,Adventure",2012,winter
Kill Me Baby,11079,6.85,48401,116057,492,Comedy,2012,winter
Senki Zesshou Symphogear,11751,7.02,42805,112730,1066,"Action,Sci-Fi",2012,winter
Aquarion Evol,10447,7.09,44069,103714,414,"Action,Fantasy,Romance,Sci-Fi",2012,winter
Area no Kishi,11697,7.17,34051,72326,217,"Comedy,Sports",2012,winter
Mouretsu Pirates,8917,7.15,26951,72223,284,"Award Winning,Sci-Fi",2012,winter
Rinne no Lagrange,11227,6.9,23298,69282,140,"Action,Comedy,Sci-Fi",2012,winter
Shin Tennis no Ouji-sama,11371,7.54,29977,60725,205,Sports,2012,winter
Recorder to Randoseru Do♪,11491,6.64,25193,52973,28,"Comedy,Slice of Life",2012,winter
Smile Precure!,12191,6.77,20011,40213,352,"Action,Fantasy",2012,winter
Gokujo.: Gokurakuin Joshikou Ryou Monogatari,11769,6.16,12483,31117,40,"Comedy,Girls Love,Ecchi",2012,winter
Thermae Romae,12321,6.96,11970,25531,32,Comedy,2012,winter
Poyopoyo Kansatsu Nikki,12021,7.65,9130,20421,146,"Comedy,Slice of Life",2012,winter
Tantei Opera Milky Holmes Dai 2 Maku,11341,7.2,7660,17952,68,"Comedy,Mystery",2012,winter
Danball Senki W,12651,7.02,2837,6058,26,Action,2012,winter
Xia Lan,34129,6.0,133,694,2,"Action,Adventure,Drama,Fantasy,Supernatural",2012,winter
Himitsukessha Taka no Tsume Gaiden: Mukashi no Yoshida-kun,13207,5.59,142,538,0,Comedy,2012,winter
Porong Porong Pororo 4,27457,5.48,157,454,0,,2012,winter
Robocar Poli 2,32221,5.65,130,396,1,,2012,winter
Hyouka,12189,8.08,601900,1287341,25917,"Mystery,Slice of Life",2012,spring
Kuroko no Basket,11771,8.07,667152,1129438,20468,Sports,2012,spring
Fate/Zero 2nd Season,11741,8.56,672506,1055226,19902,"Action,Fantasy,Supernatural",2012,spring
Accel World,11759,7.23,376013,689766,3862,"Action,Romance,Sci-Fi",2012,spring
Sankarea,11499,7.29,300860,583874,2562,"Comedy,Horror,Romance,Supernatural,Ecchi",2012,spring
Tasogare Otome x Amnesia,12445,7.83,175221,383468,4414,"Horror,Mystery,Romance,Supernatural",2012,spring
Kore wa Zombie desu ka? of the Dead,10790,7.5,211605,367470,722,"Action,Comedy,Supernatural,Ecchi",2012,spring
Sakamichi no Apollon,12531,8.31,163204,362603,6788,"Drama,Romance",2012,spring
Haiyore! Nyaruko-san,11785,7.0,147206,342374,1288,"Comedy,Sci-Fi",2012,spring
Jormungand,12413,7.81,144523,338658,2893,"Action,Adventure",2012,spring
Acchi Kocchi,12291,7.48,141917,305812,2560,"Comedy,Romance,Slice of Life",2012,spring
Nazo no Kanojo X,12467,7.24,137493,293404,2907,Romance,2012,spring
Medaka Box,11761,7.02,104735,242933,426,"Action,Comedy,Ecchi",2012,spring
Uchuu Kyoudai,12431,8.5,50631,183824,3771,"Comedy,Sci-Fi",2012,spring
Tsuritama,12883,7.66,58565,163811,2248,"Comedy,Sci-Fi,Slice of Life",2012,spring
Zetman,11837,6.85,60146,131257,269,"Action,Drama,Horror,Romance,Sci-Fi,Supernatural",2012,spring
Hiiro no Kakera,12461,6.71,44950,108517,393,"Fantasy,Romance,Supernatural",2012,spring
Eureka Seven AO,12471,6.66,41189,93356,191,"Action,Adventure,Drama,Sci-Fi",2012,spring
